新中西里26号,"116.438341,39.934061"
门头沟路11号院1号商业楼1-01/2-01a,"116.097275,39.944074"
左安路十里河文化园一层,"116.457652,39.866908"
滨河路20号,"116.108663,39.942879"
延庆镇高塔街67号1F-03商铺,"115.983417,40.466042"
双峪路35号院1号楼物美大卖场1层1003号,"116.113749,39.935291"
北七家镇定泗路与立汤路交叉口,"116.413835,40.116866"
清苑路华贸天地1层,"116.433205,40.046676"
广安门内大街甲306-4号(白广路北口综合楼1号),"116.358344,39.888935"
香山北辛村58号1-2层,"116.204385,39.994370"
阜成门外大街2号万通新世界1层,"116.353685,39.922992"
草桥欣园1区5号楼,"116.358998,39.846225"
阳光街430号103-104,"116.836876,40.361880"
北清路1号院8号楼,"116.286753,40.097515"
[],"116.517318,39.921785"
昌金路赵全营段299号院4号楼1层,"116.513968,40.210822"
丽苑街23号,"116.562873,40.053100"
长阳路5号-1,"116.218269,39.753646"
小营路17号一层A1号二层B1号商铺,"116.423774,39.992080"
广安路1幢B1层1392-1402号,"116.321038,39.892984"
东坝中路金隅嘉品mallB1层B1-23、B1-25、B1-26a号,"116.547779,39.951478"
海淀大街3号鼎好大厦B座1层,"116.314026,39.983771"
思邈路2号院3号楼天宫院地铁C口,"116.320474,39.669104"
东三环中路65号北京富力广场购物中心B1层143,"116.460814,39.895110"
西大街1号美廉美超市1层,"115.984068,39.702909"
东打磨厂街7号新活馆1层,"116.412544,39.899665"
高井朝阳路69号财满街财经中心,"116.532751,39.917226"
闵庄路3号,"116.257532,39.973862"
欣宁街15号北京荟聚西红门购物中心L3层1-03-19-R,"116.327712,39.788859"
九棵树西路182号,"116.639963,39.873856"
西直门外大街112号F1-F2层,"116.345926,39.938200"
太阳宫中路12号凯德MALL1层01-10A-12、2层02-08,"116.448259,39.971372"
双桥东路西侧管庄乡新村D区2号楼2室,"116.601181,39.901706"
农大南路万霖大厦88号,"116.300577,40.024735"
东直门外大街48号银座百货一层底商,"116.435689,39.940329"
枣园路天键广场C座109号,"116.315011,39.752554"
西单横二条59号高登大厦B1层,"116.375763,39.910735"
方庄芳城园3区16号楼,"116.435670,39.866261"
迎宾环岛西北角BHG Mall北京华联平谷购物中心1层,"117.094876,40.146493"
郑各庄村东水城文化街B-5号,"116.373228,40.102977"
信息路甲28号科实大厦A座1层,"116.311526,40.035196"
云景东路2号And淘宝城一层,"116.668957,39.882864"
五棵松下沉广场B1层078号,"116.277546,39.908583"
复兴门内大街101号百盛购物中心复兴门店南楼F1层,"116.357921,39.907896"
北沙滩桥1号红星美凯龙1层,"116.370409,40.002076"
湖景东路9号新奥购物中心B1层H1-42,"116.396647,39.998967"
回龙观育知东路30号院5号楼BHG Mall北京华联同成街购物中心1层,"116.338173,40.071860"
莲香园小区1号楼B区广亨商场1层,"116.302411,39.889353"
大栅栏街41号1-3层,"116.394794,39.895902"
祁家豁子甲2号(近清香阁),"116.380677,39.976248"
芳菲路万芳园一区1号楼1层,"116.320405,39.847550"
天竺镇榆阳路8号欧陆时尚购物中心1层,"116.547966,40.066622"
虎坊路21-15号,"116.384551,39.883988"
巴沟路2号(近地铁10号线巴沟站)BHG Mall北京华联万柳购物中心F1层F120,"116.294510,39.973629"
黄村镇兴华大街27号,"116.331873,39.732365"
欣清南院2号院1号楼1层101-102,"116.347182,39.789875"
东高地万源西里36栋甲44栋综合服务中心,"116.423015,39.803072"
复兴路42号,"116.254954,39.906938"
慧忠北里302-1号,"116.407359,40.004781"
康定街18号院3号,"116.538902,39.772082"
管庄路鑫兆佳园15号楼1层,"116.590176,39.920800"
志新路10号物美大卖场1层,"116.368617,39.993242"
西三旗沁春家园,"116.335891,40.058075"
马连道路25号新年华购物中心1-2层,"116.326114,39.877590"
亦庄第二生活区马驹桥凉水河桥南,"116.545243,39.760589"
长阳镇哑叭河村加州水郡西区218-18号,"116.164861,39.766272"
宋庄路71号,"116.427369,39.845568"
朝阳北路175-1号,"116.479986,39.923280"
安慧里二区5号楼1层,"116.408124,39.994083"
农光东里34号天客隆商务大厦A座1层,"116.468190,39.884048"
西三环北洼路乙32号华普超市1层,"116.302712,39.933763"
北清路88-1,"116.233345,40.069839"
学院路29号,"116.352555,39.993090"
广顺北大街19号六佰本商业街北区1层,"116.466975,40.009273"
南四环中路城南嘉园益城园16号楼1层,"116.369231,39.833150"
杏石口路63号,"116.229469,39.954179"
石景山路18号万达广场1层,"116.226184,39.906530"
良乡西潞南大街甲1号楼美丫美百货,"116.136755,39.730809"
槐房西路316号院26号楼-1,"116.367440,39.805115"
次渠大街98号百发隆商场1层,"116.578547,39.802687"
良乡拱辰大街181号,"116.141784,39.731837"
三间房双桥路3号东星时尚文化广场1层,"116.576344,39.908538"
金蝉西路欢乐园2号院甲1号,"116.500650,39.864518"
永兴路7号院1号楼北京龙湖大兴天街F1层,"116.321066,39.686734"
朝阳北路17号BHG Mall北京华联常营购物中心F1层F1-12,"116.598975,39.926418"
迎宾中路15号,"116.637060,40.315033"
远大路1号世纪金源购物中心西区1F层北1080A,"116.287879,39.959023"
工人体育场东路13号楼2门蓝岛大厦对面,"116.449395,39.923401"
学清路10号院1号楼学清嘉创大厦A座1层102号,"116.353049,40.014899"
丰管路甲3号亿潼隆丰益购物中心1层A1号,"116.302078,39.858232"
东方东路19号5号楼B110号,"116.464200,39.950584"
亦庄经济开发区地盛北街1号院40号楼等5撞地下一层,"116.495548,39.784934"
望京街9号万科时代中心C座1层102号,"116.484526,39.990855"
长政南街1号院1号楼1层,"116.213238,39.763387"
姚家园路活力东方广场西馆1层,"116.521367,39.940288"
东三环南路农光里117号劲松大厦B1层,"116.461962,39.883877"
灯市口大街33-1号,"116.414859,39.918894"
潘家园松榆北路2号楼,"116.461852,39.875611"
定福庄北里1号,"116.562164,39.916472"
回龙观镇三合庄村美廉美1层(回龙观西大街99、龙华园对面),"116.323014,40.076565"
永定门外大街101号百荣世贸商城A区2层,"116.398901,39.859297"
香山南路105号启迪香山1-2层107B、108、208-201号,"116.204041,39.944476"
站前街1号隆华购物中心F1层,"116.650720,40.126235"
忠凉路1号院1号楼万科广场二层,"116.460407,39.805723"
梅市口路12号院1号楼1层1001号,"116.270925,39.880651"
红居街10号院3号北侧,"116.339757,39.889348"
三里屯路19号三里屯太古里南区B1层SLG-20,"116.454722,39.934501"
和平里6区8号楼1层109-2号,"116.424809,39.956913"
新街口北大街3号新街高和106A,"116.371561,39.946219"
石榴庄西街232号联宏海鲜市场,"116.414226,39.842030"
三里河路17号甘家口百货B1层,"116.333493,39.927659"
酒仙桥路甲4号3号楼宏源大厦2层,"116.490356,39.984864"
西大望路15号外企大厦5号楼1层,"116.477063,39.894024"
东三环南路102-13号,"116.459847,39.865678"
甜水园街甜水园北里16号楼B1层,"116.478782,39.928774"
东直门外大街39号东直门交通枢纽1层,"116.435603,39.942426"
百子湾路15号,"116.497684,39.901282"
新街口外大街甲18号1-2层,"116.371639,39.955388"
西红门镇瑞海家园1区1号楼,"116.329295,39.790430"
八里庄东里1号莱锦1号,"116.497969,39.915304"
复兴路69号蓝色港湾购物中心(五棵松店)B1层,"116.280530,39.913350"
花家地北里1号,"116.469535,39.985376"
农展南路11号楼,"116.465542,39.934063"
广渠门内大街80号通正大厦2层,"116.428739,39.893238"
交道口东大街113号,"116.409327,39.941082"
月坛南街32-1号,"116.340672,39.913843"
双榆树西里7号,"116.325327,39.967610"
新街口外大街19号北京师范大学励耘学苑1层,"116.370224,39.961427"
王府井大街200号工美大厦1层,"116.411675,39.910742"
学院路甲38号长城电脑大厦内(近花园北路),"116.355576,39.981774"
高梁桥路上园村甲4号1号楼1层、B1层,"116.342178,39.947637"
鼓楼南街20号建筑物1号,"116.234098,40.219121"
朝阳公园路6号蓝色港湾国际商区2号楼2层,"116.476825,39.949537"
民族园路2号唐人街购物广场1层,"116.390233,39.982154"
王府井大街88号银泰B1层麦当劳,"116.411715,39.916579"
右安门外大街1-2号,"116.363830,39.867944"
上地十街辉煌大厦1号楼1-2层,"116.302645,40.053144"
南苑西路39号万达广场1F层1001A,"116.367114,39.814824"
亦庄经海二路远洋天著C5商业楼一层B101、二层B201,"116.521120,39.816801"
红莲南路6号院红莲南里6号,"116.338864,39.877093"
东四环南路9号北京亮都广场C区1012号,"116.485852,39.878469"
知春路59号海关大厦2层,"116.334100,39.977139"
中关村南大街16号,"116.323787,39.956213"
政通路2号院,"116.147715,39.747294"
文化园西路8号院林肯公园,"116.490426,39.805941"
[],"116.345899,39.957736"
朝外大街昆泰国际中心2728,"116.441259,39.922857"
三间房东路1号39栋,"116.582688,39.923343"
颐和园208号龙湖星悦荟商业楼1层L1-11-15号,"116.289944,39.998274"
安立路3号1幢1层106,"116.410989,40.043525"
朝阳路十里堡乙2号新城市广场F2层,"116.504613,39.915326"
新华大街171号,"116.644542,39.907085"
地铁5号线天通苑站,"116.412820,40.074776"
回龙观西大街北侧北店时代广场C段1层,"116.336031,40.080230"
芦花路1号院(公交驾校对面),"116.286706,39.789433"
旧鼓楼大街47号1、B1层,"116.393731,39.945655"
天坛东路46号红桥市场B1层,"116.420456,39.886563"
海淀大街甲36号鄂尔多斯1层,"116.307045,39.982227"
万泉河路(北京城乡仓储大超市旁),"116.306716,39.966938"
阜成路19号(近海军总医院),"116.317523,39.924209"
国创产业园1号楼1层,"116.452896,40.021231"
潞苑南大街166号,"116.693357,39.931591"
上地东二路上地佳园34号(近上地城铁),"116.318098,40.033757"
四环西路1号创新大厦1层,"116.285926,39.838844"
丰台北路甲79号华堂商场2层,"116.293856,39.866667"
金星西路3号绿地缤纷城B1层,"116.334061,39.763817"
毛家湾胡同甲13号北京站F2层,"116.427374,39.901897"
毛家湾胡同甲13号北京站进站大厅2层,"116.428027,39.903918"
怡乐中路299号院1号楼1层102,"116.634998,39.884868"
前屯路西小口悦茂商城一层,"116.349216,40.043694"
北三环中路14号-1,"116.384945,39.967883"
安定路5号院6号楼环宇荟B1层,"116.406282,39.977720"
裕民大街36号1层1004号,"116.541950,40.099237"
建国门外大街24号,"116.439034,39.907949"
前门西大街正阳市场2号,"116.394252,39.899739"
南三环东路23号1号楼1层及1层地下商场02-1号,"116.427039,39.858773"
[],"116.579268,39.817517"
兴华大街2号,"116.331002,39.776431"
[],"116.285242,39.823389"
湖光北街9号旺角购物广场1层,"116.463550,40.001397"
北京世园公园园艺小镇内,"115.954329,40.436785"
莲花池东路118号北京西站F2层T1-1、T-38,"116.321434,39.895343"
黄土店黄平路19号院泰华龙旗广场3号商业楼龙旗购物中心1层,"116.346554,40.066705"
秋实街1号易事达广场1层,"116.421746,40.041871"
来广营东路11号,"116.509669,40.024090"
长阳镇京良路南悦盛路1号6号院奥特莱斯商业中心B1-05,"116.185901,39.763447"
石园南大街18号院-4室,"116.666473,40.107807"
国家体育场南路1栋1号,"116.395401,39.991982"
贯通路东侧18号隆华奥特莱斯1层,"116.642078,40.129309"
羊坊店路21号,"116.319827,39.897422"
樊家村辛庄88号院1号楼111,"116.319973,39.836422"
酒仙桥路18号颐堤港L3层L3-59,"116.491993,39.969338"
枣营南里10号楼,"116.471068,39.944736"
亚奥北苑路甲13号上品1-2层,"116.417404,40.031844"
翠微路12号嘉茂购物中心2层,"116.302867,39.912549"
北三环东路22号,"116.423990,39.968935"
太平庄东路天通苑东苑东三区2号楼国泰百货1层,"116.435883,40.073666"
铭泽生活广场1层,"116.476992,39.864386"
西四环南路70号1层,"116.283531,39.856008"
机场西路北京首都国际机场2号航站楼1层,"116.593391,40.080447"
南环路10院1号楼悦荟万科商城B1层,"116.238745,40.212324"
安立路68号太阳飘亮购物中心1层A-7区内007铺,"116.408581,39.998503"
永外车站路12号北京南站B1层,"116.380031,39.864357"
永外车站路12号北京南站B1层,"116.377483,39.865780"
莲花池东路118号北京西站B1层,"116.320791,39.892888"
莲花池东路118号北京西站F3层,"116.321076,39.894369"
九棵树中街9号京通罗斯福广场B1层B01-02,"116.659360,39.889352"
生命园路4号院4号楼1层101商铺,"116.268622,40.100861"
开阳路北京火车南站高架1层A203,"116.377977,39.864761"
首都机场路2号航站楼F2层,"116.593787,40.082519"
鼓楼南街6号佳莲时代广场1层1A-01室,"116.234109,40.223846"
首都国际机场中心广场东侧3号航站楼A区2层,"116.617664,40.054840"
北京南站B1层,"116.380332,39.864064"
鼓楼南大街3号燕赛奥特莱斯购物中心F1层,"116.845348,40.374575"
北京南站B1层南进口东南南侧F139、F140、F141-A、F141-B号,"116.380379,39.864066"
永外大街12号北京南站B1层地铁北出口北侧,"116.377732,39.865600"
九棵树西路48号阳光新生活广场F1层,"116.656405,39.889736"
万源北路与万源路交叉口万源广场2层,"116.423870,39.802101"
安慧里二区5号楼1层,"116.408085,39.993969"
欣宁街15号北京荟聚西红门购物中心L3层,"116.327594,39.788942"
阜石路61号,"116.238607,39.925914"
金沟河路与采石北路交汇处,"116.260342,39.918143"
苹果园南路9号乐活美食汇1层,"116.198498,39.931575"
天竺镇裕翔路88号新国展2层,"116.548991,40.069829"
